Group,Category,Subject Code,Subject Title,Regulation
Semester I,Compulsory,IP3151,Induction Programme,2021
Semester I,Compulsory,HS3152,Professional English - I,2021
Semester I,Compulsory,MA3151,Matrices and Calculus,2021
Semester I,Compulsory,PH3151,Engineering Physics,2021
Semester I,Compulsory,CY3151,Engineering Chemistry,2021
Semester I,Compulsory,GE3151,Problem Solving and Python Programming,2021
Semester I,Compulsory,GE3152,Heritage of Tamils,2021
Semester I,Compulsory,GE3171,Problem Solving and Python Programming Laboratory,2021
Semester I,Compulsory,BS3171,Physics and Chemistry Laboratory,2021
Semester I,Compulsory,GE3172,English Laboratory,2021
Semester II,Compulsory,HS3252,Professional English - II,2021
Semester II,Compulsory,MA3251,Statistics and Numerical Methods,2021
Semester II,Compulsory,PH3254,Physics for Electronics Engineering,2021
Semester II,Compulsory,BE3254,Electrical and Instrumentation Engineering,2021
Semester II,Compulsory,GE3251,Engineering Graphics,2021
Semester II,Compulsory,EC3251,Circuit Analysis,2021
Semester II,Compulsory,GE3252,Tamils and Technology,2021
Semester II,Compulsory,,NCC Credit Course Level 1,2021
Semester II,Compulsory,GE3271,Engineering Practices Laboratory,2021
Semester II,Compulsory,EC3271,Circuits Analysis Laboratory,2021
Semester II,Compulsory,GE3272,Communication Laboratory / Foreign Language,2021
Semester III,Compulsory,MA3355,Random Processes and Linear Algebra,2021
Semester III,Compulsory,CS3353,C Programming and Data Structures,2021
Semester III,Compulsory,EC3354,Signals and Systems,2021
Semester III,Compulsory,EC3353,Electronic Devices and Circuits,2021
Semester III,Compulsory,EC3351,Control Systems,2021
Semester III,Compulsory,EC3352,Digital Systems Design,2021
Semester III,Compulsory,EC3361,Electronic Devices and Circuits Laboratory,2021
Semester III,Compulsory,CS3362,C Programming and Data Structures Laboratory,2021
Semester III,Compulsory,GE3361,Professional Development,2021
Semester IV,Compulsory,EC3452,Electromagnetic Fields,2021
Semester IV,Compulsory,EC3401,Networks and Security,2021
Semester IV,Compulsory,EC3451,Linear Integrated Circuits,2021
Semester IV,Compulsory,EC3492,Digital Signal Processing,2021
Semester IV,Compulsory,EC3491,Communication Systems,2021
Semester IV,Compulsory,GE3451,Environmental Sciences and Sustainability,2021
Semester IV,Compulsory,,NCC Credit Course Level 2,2021
Semester IV,Compulsory,EC3461,Communication Systems Laboratory,2021
Semester IV,Compulsory,EC3462,Linear Integrated Circuits Laboratory,2021
Semester V,Compulsory,EC3501,Wireless Communication,2021
Semester V,Compulsory,EC3552,VLSI and Chip Design,2021
Semester V,Compulsory,EC3551,Transmission Lines and RF Systems,2021
Semester V,Compulsory,EC3561,VLSI Laboratory,2021
Semester VI,Compulsory,ET3491,Embedded Systems and IOT Design,2021
Semester VI,Compulsory,CS3491,Artificial Intelligence and Machine Learning,2021
Semester VII / VIII,Compulsory,GE3791,Human Values and Ethics,2021
Semester VII / VIII,Compulsory,EC3711,Summer internship,2021
Semester VIII / VII,Compulsory,EC3811,Project Work / Internship,2021
Elective - Management,Management Elective,GE3751,Principles of Management,2021
Elective - Management,Management Elective,GE3752,Total Quality Management,2021
Elective - Management,Management Elective,GE3753,Engineering Economics and Financial Accounting,2021
Elective - Management,Management Elective,GE3754,Human Resource Management,2021
Elective - Management,Management Elective,GE3755,Knowledge Management,2021
Elective - Management,Management Elective,GE3792,Industrial Management,2021
Mandatory Course I,Mandatory / Non-Credit,MX3081,Introduction to Women and Gender Studies,2021
Mandatory Course I,Mandatory / Non-Credit,MX3082,Elements of Literature,2021
Mandatory Course I,Mandatory / Non-Credit,MX3083,Film Appreciation,2021
Mandatory Course I,Mandatory / Non-Credit,MX3084,Disaster Risk Reduction and Management,2021
